title,rental price,bedrooms,bathrooms,Area (SF),"latitude,longitude",cats are OK - purrr,dogs are OK - wooof,w/d in unit,wd in unit,laundry in bldg,laundry on site,attached garage,detached garage,carport,furnished,no smoking,wheelchair accessible
Lone Mountain Top Floor 3 bed 2 ba Flat with Parking,3600,3,2,,"(37.781468, -122.45312)",0,0,0,0,0,0,1,0,0,0,0,0
Gorgeous 3 bed 2 ba with Bonus Room - Remodeled ~ J.Wavro,3800,3,2,,"(37.735308, -122.398209)",0,0,0,1,0,0,1,0,0,0,0,0
Great 5 Room (3 bedroom) Garden Apt. with large patio,3000,3,2,,"(37.751929, -122.475242)",0,0,0,0,1,0,0,0,0,0,0,1
OPEN HOUSE | Glen Park- Noe Valley Spacious 3 BD with Balcony and Yard,5495,3,2,1600,"(37.73556, -122.430246)",1,1,0,0,0,0,0,0,0,0,0,0
Renovated 3Bedroom/2Bath Top Floor Flat,5995,3,2,1400,"(37.792204, -122.415377)",0,0,0,1,0,0,1,0,0,1,1,0
Looking for housemate in a 4 bedroom Chinatown/North Beach place,1400,4,1,,"(37.797654, -122.400863)",0,0,0,1,0,0,0,0,0,0,1,0
3bdrm and den 2 ba Outer Richmond Flat,4300,3,2,1500,"(37.779208, -122.486821)",0,0,0,0,1,0,0,0,0,0,1,0
Recently remodeled! Top floor flat - Approx. 1600sf ~ J.Wavro,5675,3,3,,"(37.764131, -122.464172)",0,0,0,1,0,0,0,0,0,0,0,0
Hardwood Floor 3 Bed / 1 Bath Near Dolores Park ~ J.Wavro,4500,3,1,,"(37.76129, -122.428354)",0,0,0,0,0,0,0,0,0,0,0,0
OPEN HOUSE SAT 2PM  ReLISTO,5495,3,2,1600,"(37.745, -122.4383)",1,1,0,1,0,0,0,0,0,0,0,0
"3 Bed / 1 Bath at Dolores Park, HW ~ J.Wavro",4800,3,1,,"(37.76129, -122.428354)",0,0,0,0,0,0,0,0,0,0,0,0
"3 BR, 3 BA 2 Story Marina Unit with Panoramic View Deck",9950,3,3,2400,"(37.804376, -122.44664)",0,0,0,1,0,0,1,0,0,0,0,0
3bed/1bath - large flat in Duboce triangle,4500,3,1,,"(37.7587, -122.433)",0,0,0,0,0,0,0,0,0,0,1,0
Great House near the Beach. Freshly painted. Pets ok ~ J.Wavro,4495,3,1,,"(37.75119, -122.503133)",1,1,0,1,0,0,1,0,0,0,0,0
4 spacious bedrooms 2 full bathrooms Beautiful Large Apt in Castro,6995,4,2,1473,"(37.759628, -122.442434)",1,0,0,0,1,0,0,0,0,0,0,0
Ultra-Modern Home-Like Two Level 3bd/2.5ba Condo ~2500 sq ft ~ J.Wavro,8500,3,2.5,,"(37.787657, -122.395086)",1,1,0,1,0,0,1,0,0,0,0,0
"Two Level 4 Bedroom, 2 Bath Upper Unit of a Duplex",4000,4,2,,"(37.724633, -122.43428)",0,0,0,0,0,0,0,0,0,0,1,0
Ski Lease Truckee/Tahoe Views 7acres Close to Town & Dog friendly,4900,3,3,,"(39.315389, -120.175991)",0,1,0,1,0,0,0,0,0,0,0,0
JUST LOWERED - Spacious 3Bed/Split bath Flat w/ Hardwood Floors,5600,3,,,"(37.759522, -122.423572)",0,0,0,1,0,0,0,0,0,0,0,0
"FURNISHED! Penthse. Bright,Airy. New Remod! Walksr97. AVAIL SOON!",10000,4,2.5,,"(37.7917, -122.4186)",1,1,0,0,0,1,1,0,0,1,1,0
3 spacious bedrooms 2 full bathrooms Beautiful Large Apt in Castro,5995,3,2,1473,"(37.760489, -122.441564)",1,0,0,0,1,0,0,0,0,0,0,0
SPACIOUS EDWARDIAN FLAT! 3 BED 1 BA PARKING! DAWN CUSULOS,5600,3,1,,"(37.764158, -122.43399)",0,0,0,0,0,1,1,0,0,0,1,0
Edwardian house -3 Bed / two bath Two level house - Parking,5800,3,2,2200,"(37.7812, -122.4614)",0,0,0,0,0,0,1,0,0,0,1,0
Spacious Presidio Duplex,8750,4,2.5,2500,"(37.798738, -122.470737)",1,1,0,0,0,0,0,1,0,0,0,0
Large Presidio Duplex Now Available,5780,4,2,1650,"(37.795475, -122.464739)",1,1,0,0,0,0,0,0,0,0,0,0
Poolside Terrace Level | South Beach Condo next to CalTrains | Parking,6500,3,2,1518,"(37.777533, -122.39246)",0,0,0,1,0,0,1,0,0,0,0,0
3 Bed / two bath Two level house Edwardian home 2200 sq feet - Parking,5800,3,2,2200,"(37.7812, -122.4614)",0,0,0,0,0,0,1,0,0,0,1,0
Stunning 3br/4ba Pacific Heights Penthouse,12750,3,4,2700,"(37.792372, -122.443185)",0,0,0,1,0,0,1,0,0,0,1,0
"ID#842: Marina Rnvtd 3BR/2.5BA 2-Lvl Unit w/Views, Deck, 2-Car Garage",8000,3,2.5,,"(37.802421, -122.446187)",0,0,0,1,0,0,1,0,0,0,1,0
"SHOW SAT 10/6@10AM ID#1770 CowHlw Rmdld 4BR/2BA VU Apt w/Pkg, Strg",7650,4,2,,"(37.79682, -122.442206)",0,0,0,0,1,0,1,0,0,0,1,0
Victorian Flat - Great Location,5900,3,1.5,1200,"(37.781732, -122.437623)",0,0,0,0,1,0,0,0,0,0,0,0
Gorgeous Three Bed Two Bath Eureka Valley Apartment ~ J.Wavro,8000,3,2,,"(37.759223, -122.435957)",0,0,0,1,0,0,0,0,0,0,0,0
Recently Renovated Top floor 3bd/2.5ba Cole Valley ~ J.Wavro,6650,3,2.5,,"(37.761648, -122.44912)",1,1,0,1,0,0,0,0,0,0,0,0
"3Bedroom, 1.5bath, living room, dining room, kitchen, laundry",4300,3,1.5,1600,"(37.74524, -122.477996)",0,0,0,1,0,0,0,0,0,0,1,0
"Prime Location Unit-Open House: Saturday, October 6th from 12:30-1:15",5395,3,1,,"(37.759043, -122.425611)",1,0,0,0,1,0,0,0,0,0,1,0
3Bedrooms/2 Bathroom Central Richmond is looking for tenants.,3900,3,2,1300,"(37.9691, -122.5105)",0,0,0,1,0,0,0,0,0,0,0,0
#503 Modern Furnished 4 Bedroom in Mission District,10000,4,3,,"(37.749713, -122.417157)",0,0,0,1,0,0,1,0,0,1,1,0
Beautiful Brand New 3 Bedroom with Full Upgrades Available Now!,6491,3,2,1125,"(37.781428, -122.432329)",1,1,0,1,0,0,1,0,0,0,0,0
Free for October. Near BART.  Sunny 3 Bedroom Top Floor w/laundry.,4500,3,2,,"(37.735121, -122.421556)",0,0,0,1,0,0,0,0,0,0,1,0
#132 Furnished ONLY Beautiful Mansion in Heart of Pacific Heights,10750,3,2.5,3500,"(37.7897, -122.427596)",0,0,0,1,0,0,1,0,0,1,1,0
4 Bedroom/2 Bath Many Creature Comforts $6000,6000,4,2,,"(37.769707, -122.44929)",0,0,0,1,0,0,0,0,0,0,1,0
3 Bedroom in Buzzing Neighborhood! 2 WEEKS FREE RENT!,5495,3,1,940,"(37.75484, -122.420921)",1,1,0,0,0,0,0,0,0,0,1,0
Great Inner Sunset 3 Bed/2.5 Bath! CALL TODAY!,6550,3,2.5,,"(37.764653, -122.466354)",1,1,0,1,0,0,0,0,0,0,1,0
"INSANE Views...Bay Bridge, Coit Tower, Pyramid, North Bay, and City..",11995,3,3,2000,"(37.7917, -122.4186)",0,0,0,0,0,1,0,0,0,0,0,0
"INSANE Views...Bay Bridge, Coit Tower, Pyramid, North Bay, and City..",11995,3,3,2000,"(37.7917, -122.4186)",0,0,0,0,0,1,0,0,0,0,0,0
"INSANE Views...Bay Bridge, Coit Tower, Pyramid, North Bay, and City..",11995,3,3,2000,"(37.7917, -122.4186)",0,0,0,0,0,1,0,0,0,0,0,0
Treehouse with Ocean View and Hardwood Floors,3900,3,1,1000,"(37.7893, -122.489277)",0,0,0,1,0,0,0,0,1,0,0,0
"Gorgeous Full Floor, 3 Bedroom / 1 Bath Flat in the Inner Mission.",5295,3,1,,"(37.76809, -122.419203)",0,0,0,1,0,0,0,0,0,0,1,0
"LUXURY 3BR IN EXCLUSIVE BUILDING: Elevator, Doorman, View, Renovated",15000,3,4,3200,"(37.792648, -122.4119)",1,1,0,1,0,0,1,0,0,0,1,1
"Renovated and Sun-Filled, 3 Bed / 1 Bath, Full Floor Flat w/ Deck!",5295,3,1,,"(37.76809, -122.419203)",0,0,0,1,0,0,0,0,0,0,1,0
"3 Bedroom, Premium parking in SOMA  limited spaces available now",7663,3,3,1913,"(37.787703, -122.391971)",1,1,0,0,0,0,0,0,0,0,1,1
"4 Bedroom 2 Bath - Remodeled Kitchen, Hardwood Floors",5500,4,2,,"(37.784435, -122.462282)",1,0,0,0,1,0,0,0,0,0,0,0
1 short block away from Google Shuttle line! Spacious 4BR2BA!!!,6795,4,2,1800,"(37.742295, -122.423286)",0,0,0,0,1,0,0,0,0,0,1,0
REMODELED 3BR/1BA CONVENIENTLY LOCATED in SF!,4500,3,1,,"(37.78446, -122.431183)",0,0,0,0,1,0,1,0,0,0,1,0
"Prime Location!Stunning 4BR2BA home! By cable car, Muni, BART station!",7595,4,2,2000,"(37.794354, -122.419753)",0,0,0,1,0,0,0,0,0,0,1,0
OPEN HOUSE | Glen Park- Noe Valley Spacious 3 BD with Backyard,5495,3,2,1600,"(37.73556, -122.430246)",1,1,0,1,0,0,0,0,0,0,0,0
FURNISHED 3 Bdrm 2 Ba W/D Deck/Yard All Utilitys Pets ok,5000,3,2,1000,"(37.763387, -122.504919)",1,1,0,1,0,0,0,0,0,1,1,0
EXCEPTIONAL SUNSET 3 BED/1.25 BATH HOUSE WITH BONUS ROOM~@@,3500,3,1.5,,"(37.7593, -122.4836)",0,0,0,0,0,0,0,0,0,0,0,0
Beautiful home located in the Ingleside Terrace neighborhood!!@,3950,3,3,,"(37.7354, -122.4571)",0,0,0,0,0,0,0,0,0,0,0,0
Recently Renovated kitchen and bathrooms! Parking available! ~ J.Wavro,6650,3,2,,"(37.789941, -122.44733)",1,1,0,0,0,0,1,0,0,0,0,0
Large and Cozy apartment- Mexico city,1300,3,2,100,"(19.39342, -99.160078)",0,0,0,1,0,0,0,1,0,0,0,0
Modern Remodeled Apartment for Rent - Richmond,4100,3,1.5,,"(37.7786, -122.4892)",0,0,0,0,0,0,1,0,0,0,1,0
Fully furnished apartment near Twin Peaks,1750,3,2,,"(37.746765, -122.443961)",0,0,0,1,0,0,1,0,0,0,1,0
"Renovated, TOP floor, BRIGHT unit w/ Skylights. Shared GARDEN access",8400,4,2.5,,"(37.777858, -122.437866)",0,0,0,1,0,0,0,0,0,0,1,0
Furnished business-ready / family-friendly modern home,6000,3,1,,"(37.757101, -122.417812)",0,0,0,1,0,0,1,0,0,1,1,0
Master bedroom available in a 3 bedroom 1 bath apartment. $1900/mo,1900,3,1,,"(37.800006, -122.429334)",0,0,0,1,0,0,0,0,0,0,0,0
PENTHOUSE 3BR/2BA modern AVAILABLE starting November 30,8500,3,2,1150,"(37.796291, -122.411719)",1,1,0,1,0,0,0,0,0,1,1,0
PENTHOUSE 3BR/2BA modern furnished available for 1-12 month rental,8500,3,2,1150,"(37.796291, -122.411719)",1,1,0,1,0,0,0,0,0,1,0,0
Apartment  available now,4400,3,1,,"(37.666429, -122.01416)",0,0,0,0,0,0,0,0,0,0,0,0
Room available in updated North Beach apartment with incredible views,2000,3,0,,"(37.800754, -122.40681)",0,0,0,0,0,0,0,0,0,0,0,0
3BD 1BA Flat located in the iconic Telegraph Hill Neighborhood,5200,3,,,"(37.7989, -122.40617)",0,0,0,0,0,0,0,0,0,0,1,0
3Br/1.5 Bath Apartment Now Available!,3000,3,0,,"(37.734187, -122.426147)",0,0,0,0,0,0,0,0,0,0,0,0
Available Now. Check out this Gorgeous 4 Bedroom Available For Rent.,6995,4,1,1600,"(37.784929, -122.442377)",0,0,0,1,0,0,1,0,0,0,1,0
Move In Ready 4 Bedroom Apartment. Great Location. 2 Units Left. Hurry,6800,4,1,1600,"(37.784934, -122.442343)",0,0,0,1,0,0,1,0,0,0,1,0
Recently remodeled! Top floor flat - Approx. 1600sf ~ J.Wavro,5675,3,3,,"(37.764131, -122.464172)",0,0,0,1,0,0,0,0,0,0,0,0
"Spectacular, Presidio Heights, 4BR, 3BA, 2 Level, Yard, Parking",13750,4,3,,"(37.7812, -122.4614)",0,0,0,1,0,0,1,0,0,0,0,0
Hardwood Floor 3 Bed / 1 Bath Near Dolores Park ~ J.Wavro,4500,3,1,,"(37.76129, -122.428354)",0,0,0,0,0,0,0,0,0,0,0,0
"PET FRIENDLY, BRIGHT & SPACIOUS UPPER UNT w/parking, laundry & more",4400,3,2,1700,"(37.782702, -122.46977)",1,1,0,0,1,0,1,0,0,0,1,0
"3 Bed / 1 Bath at Dolores Park, HW ~ J.Wavro",4800,3,1,,"(37.76129, -122.428354)",0,0,0,0,0,0,0,0,0,0,0,0
"2976 Washington St, Unit #7, San Francisco, CA",5600,3,2,,"(37.790539, -122.442654)",0,0,0,0,1,0,0,0,0,0,1,0
591 Monterey Blvd San Francisco CA,4400,4,3,,"(37.731543, -122.448866)",0,0,0,0,1,0,0,0,0,0,1,0
Luxury Brand New 3 bedroom and 2.0 Full Bath condo!!! Never Lived In,5990,3,2,1500,"(37.799, -122.442648)",0,0,0,1,0,0,0,0,0,0,0,0
Corner 3 bedroom in SF's Sunniest Neighborhood! Available THIS WEEK!,5980,3,2,1108,"(37.761657, -122.391922)",1,1,0,1,0,0,1,0,0,0,1,1
"2547 Turk St, San Francisco",6200,3,2,,"(37.7812, -122.4614)",0,0,0,1,0,0,0,0,0,0,1,0
Gorgeous Three Bed Two Bath Eureka Valley Apartment ~ J.Wavro,8000,3,2,,"(37.759223, -122.435957)",0,0,0,1,0,0,0,0,0,0,0,0
***3Bedroom Cul-De-Sac in Castro Valley***,3000,3,1,,"(37.701914, -122.089308)",0,0,0,0,0,0,0,0,0,0,0,0
Beautiful and Large 3 Bedroom 2 Bath on Potrero!,5495,3,2,,"(37.763427, -122.407326)",0,0,0,0,1,0,0,0,0,0,0,0
Sunny 3 bedroom / 1.5 bath Victorian Condo - Remodeled - OCTOBER 15th,5900,3,1.5,1200,"(37.7856, -122.4358)",0,0,0,0,1,0,0,0,0,0,1,0
Modern Remodeled Flat w/ 3 BA and Hardwood Floors,5600,4,3,1600,"(37.758398, -122.466993)",0,0,0,0,1,0,0,0,0,0,0,0
Parkside Palace 3 Bedroom,4950,3,2,1800,"(37.741043, -122.478762)",1,1,0,0,1,0,0,0,0,0,0,0
"Precita Park Gem! 3 bed, 2 bath & Parking",6550,3,2,1600,"(37.746766, -122.413532)",0,1,0,1,0,0,1,0,0,0,1,0
"3Bedroom, 1.5bath, living room, dining room, kitchen, laundry",4300,3,1.5,1600,"(37.74524, -122.477996)",0,0,0,1,0,0,0,0,0,0,1,0
1 short block away from Google Shuttle line! Spacious 4BR2BA!!!,6795,4,2,1800,"(37.742295, -122.423286)",0,0,0,0,1,0,0,0,0,0,1,0
3 bedroom 2 Top Flat Daly City,3600,3,2,,"(37.656726, -122.462992)",0,0,0,0,0,0,1,0,0,0,1,0
Storage units available now in a key controlled building in SOMA,7663,3,3,1913,"(37.787703, -122.391971)",1,1,0,0,0,0,0,0,0,0,1,1
Corner 3 Bedroom in SF's Sunniest Neighborhood! Available THIS WEEK!!,5980,3,2,1108,"(37.761742, -122.39188)",1,1,0,1,0,0,1,0,0,0,1,1
Lone Mountain Top Floor 3 bed 2 ba Flat with Parking,3600,3,2,,"(37.781468, -122.45312)",0,0,0,0,0,0,1,0,0,0,0,0
Gorgeous 3 bed 2 ba with Bonus Room - Remodeled ~ J.Wavro,3800,3,2,,"(37.735308, -122.398209)",0,0,0,1,0,0,1,0,0,0,0,0
Great 5 Room (3 bedroom) Garden Apt. with large patio,3000,3,2,,"(37.751929, -122.475242)",0,0,0,0,1,0,0,0,0,0,0,1
OPEN HOUSE | Glen Park- Noe Valley Spacious 3 BD with Balcony and Yard,5495,3,2,1600,"(37.73556, -122.430246)",1,1,0,0,0,0,0,0,0,0,0,0
Renovated 3Bedroom/2Bath Top Floor Flat,5995,3,2,1400,"(37.792204, -122.415377)",0,0,0,1,0,0,1,0,0,1,1,0
Looking for housemate in a 4 bedroom Chinatown/North Beach place,1400,4,1,,"(37.797654, -122.400863)",0,0,0,1,0,0,0,0,0,0,1,0
3bdrm and den 2 ba Outer Richmond Flat,4300,3,2,1500,"(37.779208, -122.486821)",0,0,0,0,1,0,0,0,0,0,1,0
Recently remodeled! Top floor flat - Approx. 1600sf ~ J.Wavro,5675,3,3,,"(37.764131, -122.464172)",0,0,0,1,0,0,0,0,0,0,0,0
Hardwood Floor 3 Bed / 1 Bath Near Dolores Park ~ J.Wavro,4500,3,1,,"(37.76129, -122.428354)",0,0,0,0,0,0,0,0,0,0,0,0
OPEN HOUSE SAT 2PM  ReLISTO,5495,3,2,1600,"(37.745, -122.4383)",1,1,0,1,0,0,0,0,0,0,0,0
"3 Bed / 1 Bath at Dolores Park, HW ~ J.Wavro",4800,3,1,,"(37.76129, -122.428354)",0,0,0,0,0,0,0,0,0,0,0,0
